Kategorie;Epoche;Schwierigkeit;Komponist;Titel;Besetzung;Verlag
Klavier Solo ;Avantgarde;sehr leicht;Bachinskaya, N.;The Old Cuckoo-clock;Klavier;
Klavier Solo ;Avantgarde;sehr leicht;Cage, John;Waiting (1952);Klavier;Peters 6769
Klavier Solo ;Avantgarde;sehr leicht;Carloséma, Bernard;Gribouillis (1991);Klavier;Fuzeau EF 91401
Klavier Solo ;Avantgarde;sehr leicht;Le Coz, Michel;Mini Rag;Klavier;
Klavier Solo ;Avantgarde;sehr leicht;Mcleod, John;The Temple By The Sea;Klavier;
Klavier Solo ;Avantgarde;sehr leicht;Sawyer, David;Moebius;Klavier;
Klavier Solo ;Avantgarde;sehr leicht;Wedgwood, Pam;Garage Sale;Klavier;
Klavier Solo ;Barock;sehr leicht;Bach, Johann Sebastian;Die kleinen Klavierstücke. 33 Kompositionen;Klavier;Bärenreiter BA 1766
Klavier Solo ;Barock;sehr leicht;Bach, Johann Sebastian;Klavierbüchlein für Anfänger;Klavier;Peters 5012 (Hrsg: Steurer)
Klavier Solo ;Barock;sehr leicht;Corelli, Arcangelo;Sarabanda (Sonata In D Minor Op.5 No.7);Klavier;
Klavier Solo ;Barock;sehr leicht;Händel, Georg Friedrich;Klavierwerke IV: Fughetten;Klavier;Peters 4 d (Hrsg: Ruthardt)
Klavier Solo ;Barock;sehr leicht;Lohlein, Georg Simon;Balletto;Klavier;
Klavier Solo ;Klassik;sehr leicht;Bach, Johann Christoph Friedrich;"Leichte Klavierstücke aus ""Musikalische Nebenstunden""";Klavier;Schott ED 3768
Klavier Solo ;Klassik;sehr leicht;Beethoven, Ludwig van;Sechs Menuette;Klavier;Hansen 2302 (Hrsg: Parlow)
Klavier Solo ;Klassik;sehr leicht;Beethoven, Ludwig van;Tänze und Stücke;Klavier;Sikorski 105
Klavier Solo ;Klassik;sehr leicht;Hassler, Johann Wilhelm;Moderato In C Op.38 No.5;Klavier;
Klavier Solo ;Klassik;sehr leicht;Haydn, Joseph;Allegro (Sonata In G Hob.Xvi/8);Klavier;
Klavier Solo ;Klassik;sehr leicht;Haydn, Joseph;Leichte Originalkompositionen;Klavier;Peters H 4 (Hrsg: Rowley)
Klavier Solo ;Klassik;sehr leicht;Haydn, Joseph;Zwölf Menuette;Klavier;Heinrichhofens 105 (Hrsg: Beer)
Klavier Solo ;Klassik;sehr leicht;Hässler, Johann Wilhelm;Der Tonkreis;Klavier;Schott ED 2577 (Hrsg: Doflein)
Klavier Solo ;Klassik;sehr leicht;Mozart, Leopold;Bourree;Klavier;
Klavier Solo ;Klassik;sehr leicht;Mozart, Wolfgang Amadeus;Allegro In F K.1c;Klavier;
Klavier Solo ;Klassik;sehr leicht;Mozart, Wolfgang Amadeus;Leichte Originalkompositionen;Klavier;Peters H 5 (Hrsg: Rowley)
Klavier Solo ;Klassik;sehr leicht;Mozart, Wolfgang Amadeus;Salzburger Tanzbüchlein;Klavier;Peters 5001 (Hrsg: Frey)
Klavier Solo ;Klassik;sehr leicht;Türk, Daniel Gottlob;Anfängerstücke;Klavier;Schott ED 3763 (Hrsg: Doflein)
Klavier Solo ;Klassik;sehr leicht;Türk, Daniel Gottlob;Kleine Handstücke für angehende Klavierspieler;Klavier;Bärenreiter EN 810
Klavier Solo ;Klassik;sehr leicht;Türk, Daniel Gottlob;Leichte Stücke;Klavier;Schott ED 3943 (Hrsg: Doflein)
Klavier Solo ;Neue Musik;sehr leicht;Badings, Henk;Arcadia II. Fünftonstücke auf zehn Tasten;Klavier;Schott ED 4177
Klavier Solo ;Neue Musik;sehr leicht;Badings, Henk;Reihe kleiner Klavierstücke;Klavier;Schott ED 2897
Klavier Solo ;Neue Musik;sehr leicht;Bartók, Béla;Die erste Zeit am Klavier;Klavier;Schott ED 4335
Klavier Solo ;Neue Musik;sehr leicht;Bartók, Béla;Für Kinder I;Klavier;Editio Musica Budapest 2335
Klavier Solo ;Neue Musik;sehr leicht;Bartók, Béla;Mikrokosmos II (z.T. III);Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100054, (0100055)"
Klavier Solo ;Neue Musik;sehr leicht;Borris, Siegfried;Erstes Klavierbuch für Karen-Isela;Klavier;Heinrichhofens 8657
Klavier Solo ;Neue Musik;sehr leicht;Büchtger, Fritz;Spielbuch für Ute. Klavierbuch nach Kinderliedern;Klavier;Bärenreiter SM 2326
Klavier Solo ;Neue Musik;sehr leicht;Couleau, Jean-Pierre;Complainte;Klavier;Editions Musicales Transatlantiques TROO 1914 E
Klavier Solo ;Neue Musik;sehr leicht;Davies, Peter Maxwell;Stevie's Ferry to Hoy. 3 Stücke (1975);Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100564"
Klavier Solo ;Neue Musik;sehr leicht;Degen, Helmut;Kleine Klavierstücke für Kinder;Klavier;Bärenreiter SM 1862
Klavier Solo ;Neue Musik;sehr leicht;Doppelbauer, Josef Friedrich;Kleine Suite;Klavier;Doblinger 01 320
Klavier Solo ;Neue Musik;sehr leicht;Doppelbauer, Josef Friedrich;Präludium und Fuge;Klavier;Doblinger 01 544
Klavier Solo ;Neue Musik;sehr leicht;Friedel, Kurt-Joachim;Bagatellen I;Klavier;Heinrichhofens 8671
Klavier Solo ;Neue Musik;sehr leicht;Hummel, Bertold;10 Klavierstücke für Kinder;Klavier;Benjamin Anton Musikverlage EE 2943
Klavier Solo ;Neue Musik;sehr leicht;Kadosa, Pál;Zwölf Stücke für Kinder op. 35b;Klavier;Editio Musica Budapest 3186
Klavier Solo ;Neue Musik;sehr leicht;Kaminski, Heinrich;Klavierbüchlein;Klavier;Bärenreiter BA 886
Klavier Solo ;Neue Musik;sehr leicht;Kodály, Zoltán;Twelve little pieces;Klavier;Editio Musica Budapest 7029
Klavier Solo ;Neue Musik;sehr leicht;Ligeti, György;Trois Bagatelles. Homamage an David Tudor (1961);Klavier;Schott ED 8636
Klavier Solo ;Neue Musik;sehr leicht;Martinu, Bohuslav;Bozánek a Sonicce. 4 Stückchen für Kinder (aus dem Nachlass);Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BB 0101763"
Klavier Solo ;Neue Musik;sehr leicht;Persichetti, Vincent;Piano Sonatinas Nr. 4-6 op. 63, 64, 65;Klavier;Elkan Vogel Presser 460 00136
Klavier Solo ;Neue Musik;sehr leicht;Phillips, Richard;12 pièces récréatives (1994);Klavier;Combre Editions C 5559
Klavier Solo ;Neue Musik;sehr leicht;Pütz, Friedrich;Hörst Du? Zwei leichte Stücke;Klavier;Puetz ISMN  M-700156-08-4
Klavier Solo ;Neue Musik;sehr leicht;Rivier, Jean;Cinq mouvements brefs (1931);Klavier;Salabert EAS 14652
Klavier Solo ;Neue Musik;sehr leicht;Rodrigo, Joaquín;The Rodrigo Collection. 10 Pièces;Klavier;Schott SMC 535
Klavier Solo ;Neue Musik;sehr leicht;Rowley, Alec;The Bee (Fantasy Studies Op.13);Klavier;
Klavier Solo ;Neue Musik;sehr leicht;Sauguet, Henri;Pièces poétiques, Bd. 1. 7 Stücke;Klavier;Max Eschig 4515
Klavier Solo ;Neue Musik;sehr leicht;Schneider, Willy;Dreizehn kleine Klavierstücke;Klavier;Möseler 18.449
Klavier Solo ;Neue Musik;sehr leicht;Schostakowitsch, Dmitri;Sechs Kinderstücke (Marsch, Walzer, Der Bär, Fröhliches Märchen, Trauriges Märchen, Puppentanz) op. 69;Klavier;Sikorski 2122
Klavier Solo ;Neue Musik;sehr leicht;Szelényi, István;Musikalisches Bilderbuch;Klavier;Schott ED 5770
Klavier Solo ;Neue Musik;sehr leicht;Takács, Jenö;Allerlei für kleine Finger. 24 Stücke (1965);Klavier;Universal Edition 13 030
Klavier Solo ;Neue Musik;sehr leicht;Tansman, Alexandre;Je joue pour Mamam. Douze pièces;Klavier;Max Eschig 5413-5424
Klavier Solo ;Neue Musik;sehr leicht;Waxman, Donald;Close To Danger (Piano Pageant Book 3);Klavier;
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Bischoff, Kaspar Jacob;The Industrious Student Op.31 No.3;Klavier;
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Chaminade, Cécile Louise Stéphanie;Children's Album I op. 123;Klavier;Enoch
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Enckhausen, Heinrich;Andante Op.93 No.22;Klavier;
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Fuchs, Robert;Banges Herzelein Op.47 No.5;Klavier;
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Gretschaninov, Alexander Tichonovitsch;Das Kinderbuch. 15 Stücke op. 98;Klavier;Schott ED 1100
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Gretschaninov, Alexander Tichonovitsch;Im Grünen. 10 Stücke op. 99;Klavier;Schott ED 1125
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Koechlin, Charles;12 petites pièces faciles op. 208;Klavier;Leduc HE 31609
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Krug, Arnold;Der Kuckuck Und Die Nachtigall (Kinderalbum Op.55);Klavier;
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Sarauer, Alois;Mazurka;Klavier;
Klavier Solo ;Romantik, Impressionismus;sehr leicht;Satie, Erik;Menus propos enfantins. Trois petites piéces;Klavier;Max Eschig E 1819 D
Klavier Solo Sammelwerke;Avantgarde;sehr leicht;Sammelband;Mit zween Stimmen II;Klavier;Sikorski 132 b (Hrsg: Herrmann)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Alt-Dresdner Tanzbuch (18. Jh.);Klavier;Schott ED 3941 (Hrsg: Herrmann)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Das Bach-Buch;Klavier;Möseler 18.002 (Hrsg: Woehl)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Die polyphone Klavierfibel I;Klavier;Doblinger 01 011 (Hrsg: Scholz)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Kleine Fugen für Klavier;Klavier;Bärenreiter BA 1007 (Hrsg: Doflein)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Leichte Klaviermusik alter Meister;Klavier;Vieweg 2167 (Hrsg: Fischer)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Leichte Klaviermusik aus alter Zeit;Klavier;Birnbach 18 (Hrsg: Frickert)
Klavier Solo Sammelwerke;Barock;sehr leicht;Sammelband;Leichte Klaviermusik des Barock;Klavier;Schott ED 5096 (Hrsg: Emonts)
Klavier Solo Sammelwerke;Klassik;sehr leicht;Sammelband;Bachs Söhne - Leichte Klavierstücke;Klavier;Peters 5011 (Hrsg: Soldan)
Klavier Solo Sammelwerke;Klassik;sehr leicht;Sammelband;Kleine leichte Klavierstücke;Klavier;Schott ED 2425 (Hrsg: Kreutz)
Klavier Solo Sammelwerke;Klassik;sehr leicht;Sammelband;Leichte Klavierstücke des klassischen und romantischen Zeitalters;Klavier;Henle 134 (Hrsg: Georgii)
Klavier Solo Sammelwerke;Klassik;sehr leicht;Sammelband;Leichte Klavierstücke von Bachs Söhnen bis Beethoven;Klavier;Schott ED 4747 (Hrsg: Emonts)
Klavier Solo Sammelwerke;Neue Musik;sehr leicht;Sammelband;Für junge Pianisten I;Klavier;Breitkopf und Härtel DV 32 050
Klavier Solo Sammelwerke;Neue Musik;sehr leicht;Sammelband;Neue Klaviermusik für Kinder;Klavier;Peters 5245 a (Hrsg: Frickert)
Klavier vierhändig;Klassik;sehr leicht;Beethoven, Ludwig van;Deutsche Tänze;1 Klavier 4händig;Peters 4399
Klavier vierhändig;Klassik;sehr leicht;Beethoven, Ludwig van;Fröhlicher Beethoven (15 kleine Tänze);1 Klavier 4händig;Universal Edition 11 115
Klavier vierhändig;Klassik;sehr leicht;Diabelli, Anton;Acht melodische Vortragsstücke;1 Klavier 4händig;Breitkopf und Härtel 6735
Klavier vierhändig;Klassik;sehr leicht;Diabelli, Anton;Sonatinen;1 Klavier 4händig;Peters 2440
Klavier vierhändig;Klassik;sehr leicht;Haydn, Joseph;Meister für die Jugend;1 Klavier 4händig;Peters 2752
Klavier vierhändig;Klassik;sehr leicht;Haydn, Joseph;Wiener Hofball-Menuette;1 Klavier 4händig;Heinrichhofens 3847
Klavier vierhändig;Klassik;sehr leicht;Mozart, Wolfgang Amadeus;Deutsche Tänze KV 600, KV 605;1 Klavier 4händig;Breitkopf und Härtel 6775
Klavier vierhändig;Klassik;sehr leicht;Mozart, Wolfgang Amadeus;Sechs ländlerische Tänze KV 606;1 Klavier 4händig;Bärenreiter BA 1615
Klavier vierhändig;Klassik;sehr leicht;Mozart, Wolfgang Amadeus;Tänze und Märsche;1 Klavier 4händig;Universal Edition 10 915
Klavier vierhändig;Klassik;sehr leicht;Schubert, Franz;Zehn Walzer;1 Klavier 4händig;Breitkopf und Härtel 6713
Klavier vierhändig;Klassik;sehr leicht;Türk, Daniel Gottlob;Tonstücke für vier Hände I;1 Klavier 4händig;Schott ED 2296
Klavier vierhändig;Klassik;sehr leicht;Vanhal, Johann Baptist;Sechs leichte Stücke;1 Klavier 4händig;Bärenreiter BA 4369
Klavier vierhändig;Neue Musik;sehr leicht;Badings, Henk;Arcadia IV;1 Klavier 4händig;Schott ED 4179
Klavier vierhändig;Neue Musik;sehr leicht;Fegers, Karl;Erstes Musizieren am Klavier zwei- und vierhändig;1 Klavier 4händig;Möseler 930
Klavier vierhändig;Neue Musik;sehr leicht;Françaix, Jean;15 Portraits d'enfants d'Auguste Renoir;1 Klavier 4händig;Editions Musicales Transatlantiques 1173
Klavier vierhändig;Neue Musik;sehr leicht;Gabus, Monique;Week-End Musical. Six pieces;1 Klavier 4händig;Lemoine Henry Editions 24271
Klavier vierhändig;Neue Musik;sehr leicht;Hody, Jean;La maison enchantée Nr. 1;1 Klavier 4händig;Choudens Edition AC 21053
Klavier vierhändig;Neue Musik;sehr leicht;Korn, Uwe;Für kleine und große Hände;1 Klavier 4händig;Doblinger 01835
Klavier vierhändig;Neue Musik;sehr leicht;Milhaud, Darius;Enfantines;1 Klavier 4händig;Max Eschig LS 135
Klavier vierhändig;Neue Musik;sehr leicht;Phillips, Richard;À Graincourt. Trois pièces faciles;1 Klavier 4händig;Combre Editions C 47761
Klavier vierhändig;Neue Musik;sehr leicht;Poser, Hans;Ich kann Klavierspielen I;1 Klavier 4händig;Möseler 18 434
Klavier vierhändig;Neue Musik;sehr leicht;Rowley, Alec;Sechs kurze Tanzstückchen op. 41;1 Klavier 4händig;Peters 4381
Klavier vierhändig;Neue Musik;sehr leicht;Sedlack, Adolf;Vierhändiges Musizieren I und II;1 Klavier 4händig;Doblinger 01 811, 01 812
Klavier vierhändig;Neue Musik;sehr leicht;Strawinsky, Igor;Three easy pieces (1914/1915);1 Klavier 4händig;Shawnee Press CH 02910
Klavier vierhändig;Neue Musik;sehr leicht;Szelényi, István;Zwanzig leichte Klavierstücke I, II op. 36;1 Klavier 4händig;Editio Musica Budapest 6116, 6117
Klavier vierhändig;Neue Musik;sehr leicht;Tailleferre, Germaine;Premières prouesses;1 Klavier 4händig;Jobert Editions JJ 38
Klavier vierhändig;Neue Musik;sehr leicht;Tansman, Alexandre;Les Jeunes au Piano I;1 Klavier 4händig;Max Eschig 6576
Klavier vierhändig;Neue Musik;sehr leicht;Zander, Heinz-Joachim;Mini-Suite;1 Klavier 4händig;Heinrichhofens 1325
Klavier vierhändig;Romantik, Impressionismus;sehr leicht;Gretschaninov, Alexander Tichonovitsch;Album für Klavier;1 Klavier 4händig;Schott ED 1171
Klavier vierhändig;Romantik, Impressionismus;sehr leicht;Gurlitt, Cornelius;Der Anfänger op. 211;1 Klavier 4händig;Schott ED 197
Klavier-Schulen;Avantgarde;sehr leicht;Heumann, Hans-Günter;Piano Kids I;Klavier;
Klavier-Schulen;Avantgarde;sehr leicht;Heumann, Hans-Günter;Piano Kids II;Klavier;
Klavier-Schulen;Avantgarde;sehr leicht;Heumann, Hans-Günter;Piano Kids III;Klavier;
Klavier-Schulen;Avantgarde;sehr leicht;Wiedemann/Pauligh, H./D.;Improvisatorische Spiele mit Kabalewski & Co;Klavier;
Klavier-Schulen;Avantgarde;sehr leicht;Wolfer, Anton;Der Neue Wolfer. Klavierschule für Jugendliche und Erwachsene;Klavier;
Klavier-Schulen;Neue Musik;sehr leicht;Neuring, Hans-Jürgen;Kla-vier-händig Vorstufe. Elementar-Klavierschule;Klavier;
Klavier-Studien;Neue Musik;sehr leicht;Bresgen, Cesar;Studies I. Kinderleichte Stücke;Klavier;
Klavier-Studien;Neue Musik;sehr leicht;Tipo, Maria;Scales in Harmony;Klavier;
Klavier Solo ;Avantgarde;leicht;Cage, John;Music for Marcel Duchamp (Spiel mit acht präparierten Tönen);Klavier;Peters 6728
Klavier Solo ;Avantgarde;leicht;Greaves, Terence;Bonny Bobby Bluetone No.10;Klavier;
Klavier Solo ;Avantgarde;leicht;Kazandjiev, Vassil;Bulgarische Miniaturen I;Klavier;Peters 8315 a
Klavier Solo ;Avantgarde;leicht;Niederste-Schee, Wolfgang;Miniaturen, fünf leichte Zwölftonstücke;Klavier;Musicus 309
Klavier Solo ;Avantgarde;leicht;Perkowski, Piotr;Leichte Stücke;Klavier;Moeck 69 014
Klavier Solo ;Avantgarde;leicht;Readdy, Bill;Bop Goes The Weasel;Klavier;
Klavier Solo ;Avantgarde;leicht;Swayne, Giles;Ice Cream Van Op.16 No.11;Klavier;
Klavier Solo ;Avantgarde;leicht;Urbanner, Erich;Elf Bagatellen;Klavier;Universal Edition 13 165
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;24 kleine Präludien und Fughetten;Klavier;Heinrichhofens 356, pet 200 a (Hrsg: Keller)
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;24 kleine Präludien und Fughetten;Klavier;Schott UT 50 041 (Hrsg: Dehnhard), HN 106
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;25 ausgewählte Originalstücke;Klavier;Peters 4230 (Hrsg: Martienssen)
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Die Klavierbüchlein für Anna Magdalena Bach von 1722 und 1725;Klavier;Bärenreiter BA 5008
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Inventionen und Sinfonien, daraus: Zweistimmige Inventionen BWV 772-801;Klavier;Hansen 3970, 3971, hei 706, pet 4201
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Inventionen und Sinfonien, daraus: zweistimmige Inventionen BWV 772-801;Klavier;Bärenreiter BA 5150, HN 64, sch UT 50 042
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Klavierbüchlein für Wilhelm Friedemann;Klavier;Bärenreiter BA 5021
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Kleine Klavierstücke;Klavier;Universal Edition 18592 (Hrsg: Roggenkamp, P.)
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Little Prelude In F Bwv 927 (Wilhelm Friedemann Bach Notebook);Klavier;
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Notenbüchlein für Anna Magdalena Bach von 1725;Klavier;Henle 349, pet 4546
Klavier Solo ;Barock;leicht;Bach, Johann Sebastian;Präludien-Fughetten. Aus dem Umfeld des Wohltemperierten Klaviers II;Klavier;Bärenreiter BA 5200 (Hrsg: Dürr, A.)
Klavier Solo ;Barock;leicht;Couperin, François;Leichte Spielstücke;Klavier;"Hug &amp; Co GH 11596"
Klavier Solo ;Barock;leicht;Händel, Georg Friedrich;Leichte Klavierstücke;Klavier;Breitkopf und Härtel 6797
Klavier Solo ;Barock;leicht;Händel, Georg Friedrich;Sechs Fughetten;Klavier;Schott ED 09 627
Klavier Solo ;Barock;leicht;Krebs, Johann Ludwig;Suite c-moll, h-moll;Klavier;Kistner
Klavier Solo ;Barock;leicht;Purcell, Henry;Eine Auswahl leichter Klavierstücke;Klavier;Breitkopf und Härtel 8026
Klavier Solo ;Barock;leicht;Purcell, Henry;Hornpipe;Klavier;
Klavier Solo ;Barock;leicht;Scarlatti, Domenico;Klavierbüchlein;Klavier;Peters 5009
Klavier Solo ;Barock;leicht;Scarlatti, Domenico;Larghetto Kp.34;Klavier;
Klavier Solo ;Barock;leicht;Scarlatti, Domenico;Siebzehn leichte Stücke;Klavier;"Hug &amp; Co GH 8951"
Klavier Solo ;Barock;leicht;Telemann, Georg Philipp;Klavierbüchlein;Klavier;Schott ED 4230
Klavier Solo ;Barock;leicht;Telemann, Georg Philipp;Leichte Fugen mit kleinen Stücken TWV 30: 21-26;Klavier;Schott ED 9015
Klavier Solo ;Barock;leicht;Telemann, Georg Philipp;Leichte Vortragsstücke;Klavier;Breitkopf und Härtel 8027 (Hrsg: Walter)
Klavier Solo ;Barock;leicht;Telemann, Georg Philipp;Zwölf Fantasien;Klavier;Peters 4681 (Hrsg: Keller)
Klavier Solo ;Barock;leicht;Zipoli, Niccolo;Preludio (Suite No.1 In B Minor);Klavier;
Klavier Solo ;Klassik;leicht;Bach, Carl Philipp Emanuel;46 Anfangsstücke;Klavier;Heinrichhofens 2370 (Hrsg: Schütte, M.)
Klavier Solo ;Klassik;leicht;Bach, Carl Philipp Emanuel;Kurze und leichte Klavierstücke;Klavier;Universal Edition 13 311
Klavier Solo ;Klassik;leicht;Beethoven, Ludwig van;Deutsche Tänze;Klavier;Breitkopf und Härtel 6734
Klavier Solo ;Klassik;leicht;Beethoven, Ludwig van;Sechs Contretänze;Klavier;Schott ED 09 622 (Hrsg: Frickert)
Klavier Solo ;Klassik;leicht;Beethoven, Ludwig van;Sechs Ecossaisen;Klavier;Schott ED 09 580 (Hrsg: Georgii), Breitkopf und Härtel 2550
Klavier Solo ;Klassik;leicht;Beethoven, Ludwig van;Sechs leichte Variationen (Schweizerlied WoO 64) F-Dur;Klavier;Henle in 132, 142, sch ED 0288
Klavier Solo ;Klassik;leicht;Beethoven, Ludwig van;Sonate G-Dur op. 49,2;Klavier;Henle 56, sch ED 0240
Klavier Solo ;Klassik;leicht;Beethoven, Ludwig van;Zwei leichte Sonatinen (G-Dur, F-Dur);Klavier;Schott ED 0281
Klavier Solo ;Klassik;leicht;Benda, Georg Anton;34 Sonatinen;Klavier;Bärenreiter MAB I/37
Klavier Solo ;Klassik;leicht;Diabelli, Anton;11 Sonatinen op. 151, 168;Klavier;Peters 2439, schFr, ric 
Klavier Solo ;Klassik;leicht;Dittersdorf, Karl Ditters von;Zwanzig englische Tänze;Klavier;Schott ED 3935
Klavier Solo ;Klassik;leicht;Dussek, Johann Ladislaus;4 leichte Sonaten op. 46;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BB 1000965"
Klavier Solo ;Klassik;leicht;Haydn, Joseph;Eine Auswahl leichter Sonatensätze;Klavier;Breitkopf und Härtel 6760
Klavier Solo ;Klassik;leicht;Haydn, Joseph;Klavierstücke (in: Klavierwerke VI) Hob XVII;Klavier;Peters 4392 (Hrsg: Soldan)
Klavier Solo ;Klassik;leicht;Haydn, Joseph;Klavierstücke Hob XVII:1-6;Klavier;Henle 224, sch UT 50 047
Klavier Solo ;Klassik;leicht;Haydn, Joseph;Sechs Esterházy-Sonaten Hob XVI:21-26;Klavier;Henle 239, sch ED 2357, ED 2358, sch UT 50 026
Klavier Solo ;Klassik;leicht;Haydn, Joseph;Sechs leichte Divertimenti Hob XVI:1, 3, 4, 7-9;Klavier;Peters 4443 (Hrsg: Martienssen)
Klavier Solo ;Klassik;leicht;Haydn, Joseph;Tänze und Märsche;Klavier;Henle 617
Klavier Solo ;Klassik;leicht;Hook, James;Air Op.37 No.17;Klavier;
Klavier Solo ;Klassik;leicht;Hässler, Johann Wilhelm;Zwei leichte Klaviersonaten;Klavier;Kistner
Klavier Solo ;Klassik;leicht;Mozart, Leopold;Notenbuch für Nannerl;Klavier;Schott ED 3772, UE 17 145
Klavier Solo ;Klassik;leicht;Mozart, Leopold;Notenbuch für Wolfgang;Klavier;Schott ED 3718 (Hrsg: Schüngeler)
Klavier Solo ;Klassik;leicht;Mozart, Wolfgang Amadeus;Deutsche Tänze KV 600, 602, 605;Klavier;Peters 4450 (Hrsg: Czerny/Herrmann)
Klavier Solo ;Klassik;leicht;Mozart, Wolfgang Amadeus;Klavierstücke, 2 Bände (Auswahl);Klavier;Henle 22 und 133
Klavier Solo ;Klassik;leicht;Mozart, Wolfgang Amadeus;Leichte Klavierstücke aus dem Londoner Skizzenbuch;Klavier;Breitkopf und Härtel 6711
Klavier Solo ;Klassik;leicht;Ries, Ferdinand;Fünfzehn leichte Klavierstücke op. 124;Klavier;"Ries &amp; Erler RE 10047"
Klavier Solo ;Klassik;leicht;Türk, Daniel Gottlob;Allegretto;Klavier;
Klavier Solo ;Neue Musik;leicht;Auric, Georges;9 Pièces bréves (1941);Klavier;Max Eschig 6365
Klavier Solo ;Neue Musik;leicht;Badings, Henk;Arcadia I-V (1945);Klavier;Schott ED 4176-4180
Klavier Solo ;Neue Musik;leicht;Badings, Henk;Reihe kleiner Klavierstücke;Klavier;Schott ED 2897
Klavier Solo ;Neue Musik;leicht;Bartok, Bela;Round Dance;Klavier;
Klavier Solo ;Neue Musik;leicht;Bartók, Béla;Für Kinder I und II;Klavier;Editio Musica Budapest 2335, 5474
Klavier Solo ;Neue Musik;leicht;Bartók, Béla;Mikrokosmos III;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH  0100055"
Klavier Solo ;Neue Musik;leicht;Bartók, Béla;Mikrokosmos III;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100055"
Klavier Solo ;Neue Musik;leicht;Bartók, Béla;Neun kleine Klavierstücke;Klavier;Universal Edition 10 000
Klavier Solo ;Neue Musik;leicht;Bennett, Richard Rodney;Diversions. Kleine Klavierstücke zum Zeitvertreib;Klavier;Universal Edition 14151
Klavier Solo ;Neue Musik;leicht;Bjelinski, Bruno;Alarm (On A Great Liner);Klavier;
Klavier Solo ;Neue Musik;leicht;Bozay, Attila;Medailles. 36 small piano pieces (1956);Klavier;Editio Musica Budapest 6354
Klavier Solo ;Neue Musik;leicht;Bresgen, Cesar;Balkanstudien I;Klavier;Peters 5967a
Klavier Solo ;Neue Musik;leicht;Britten, Benjamin;Five Waltzes (1923-1925) op. 3;Klavier;Faber Music 74
Klavier Solo ;Neue Musik;leicht;Casadesus, Robert;Six enfantines (1955) op. 48;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock D 0102690"
Klavier Solo ;Neue Musik;leicht;Cerha, Friedrich;Adaxl-Suite (1970-1987);Klavier;Universal Edition 18586
Klavier Solo ;Neue Musik;leicht;Chatschaturjan, Aram;Abenteuer des Ivan;Klavier;Sikorski 2112
Klavier Solo ;Neue Musik;leicht;Chatschaturjan, Aram;Kinderalbum I. Bilder der Kindheit (1947);Klavier;Sikorski 2144
Klavier Solo ;Neue Musik;leicht;Chatschaturjan, Aram;Kinderalbum II: Klänge der Kindheit (1964);Klavier;Sikorski 2166
Klavier Solo ;Neue Musik;leicht;Chatschaturjan, Aram;Sonatine (1958) C-dur;Klavier;Sikorski 2153
Klavier Solo ;Neue Musik;leicht;Daniel-Lesur, Jean Yves;Pavane (1938);Klavier;Durand
Klavier Solo ;Neue Musik;leicht;Davies, Peter Maxwell;Six Sacred Songs (1996);Klavier;Shawnee Press CH 61243
Klavier Solo ;Neue Musik;leicht;Durkó, Zsolt;Childrens' Music (1978);Klavier;Editio Musica Budapest 8623
Klavier Solo ;Neue Musik;leicht;Eder, Helmut;Sonatine op. 13;Klavier;Doblinger 01 339
Klavier Solo ;Neue Musik;leicht;Eisler, Hanns;Klavierstücke für Kinder;Klavier;Peters 5218
Klavier Solo ;Neue Musik;leicht;Fortin, Viktor;Bunte Späne. 16 leichte Klavierstücke;Klavier;Doblinger 01 378
